日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2025-12-26,5276,達輝-KY,20.0,14,"293,950",14.80,14.90,14.55,14.90,,,,
2025-12-24,5276,達輝-KY,11.0,9,"162,550",14.80,14.80,14.75,14.75,,,,
2025-12-23,5276,達輝-KY,16.0,10,"237,900",14.80,15.00,14.45,15.00,,,,
2025-12-22,5276,達輝-KY,7.0,5,"103,700",14.80,14.85,14.80,14.80,,,,
2025-12-19,5276,達輝-KY,7.0,6,"103,820",14.75,14.75,14.70,14.75,,,,
2025-12-18,5276,達輝-KY,9.0,5,"131,859",14.45,14.50,14.45,14.50,,,,
2025-12-17,5276,達輝-KY,5.0,5,"72,150",14.35,14.65,14.35,14.65,,,,
2025-12-16,5276,達輝-KY,9.0,12,"132,682",14.65,14.65,14.20,14.60,,,,
2025-12-15,5276,達輝-KY,1.0,1,"14,650",14.65,14.65,14.65,14.65,,,,
2025-12-12,5276,達輝-KY,8.0,7,"117,842",14.60,14.95,14.60,14.95,,,,
2025-12-11,5276,達輝-KY,8.0,3,"116,800",14.60,14.60,14.60,14.60,,,,
2025-12-10,5276,達輝-KY,2.0,4,"29,648",14.75,14.75,14.75,14.75,,,,
2025-12-09,5276,達輝-KY,8.0,6,"119,266",14.95,14.95,14.75,14.90,,,,
2025-12-08,5276,達輝-KY,0.0,5,"4,425",---,---,---, ---,,,,
2025-12-05,5276,達輝-KY,0.0,2,"1,415",---,---,---, ---,,,,
2025-12-04,5276,達輝-KY,7.0,7,"110,019",14.90,14.95,14.90,14.95,,,,
2025-12-03,5276,達輝-KY,4.0,6,"62,671",14.80,15.10,14.80,15.10,,,,
2025-12-02,5276,達輝-KY,0.0,1,157,---,---,---, ---,,,,
2025-12-01,5276,達輝-KY,6.0,6,"88,200",14.60,14.85,14.60,14.85,,,,
2025-11-28,5276,達輝-KY,4.0,6,"58,723",14.60,14.85,14.60,14.85,,,,
2025-11-27,5276,達輝-KY,3.0,4,"44,066",14.55,14.90,14.55,14.90,,,,
2025-11-26,5276,達輝-KY,7.0,6,"104,200",14.90,14.90,14.85,14.90,,,,
2025-11-25,5276,達輝-KY,1.0,1,"14,850",14.85,14.85,14.85,14.85,,,,
2025-11-24,5276,達輝-KY,0.0,0,0,---,---,---, ---,,,,
2025-11-21,5276,達輝-KY,0.0,0,0,---,---,---, ---,,,,
2025-11-20,5276,達輝-KY,0.0,0,0,---,---,---, ---,,,,
2025-11-19,5276,達輝-KY,5.0,8,"78,329",14.60,14.65,14.25,14.65,,,,
2025-11-18,5276,達輝-KY,6.0,7,"85,983",14.30,14.60,14.20,14.60,,,,
2025-11-17,5276,達輝-KY,9.0,7,"130,150",14.40,14.75,14.30,14.75,,,,
2025-11-14,5276,達輝-KY,0.0,0,0,---,---,---, ---,,,,
2025-11-13,5276,達輝-KY,41.0,26,"604,401",14.90,14.90,14.55,14.55,,3.0,0.0,0.0
2025-11-12,5276,達輝-KY,6.0,6,"88,909",14.80,14.90,14.75,14.90,,3.0,0.0,0.0
2025-11-11,5276,達輝-KY,2.0,1,"29,700",14.85,14.85,14.85,14.85,,2.0,0.0,0.0
2025-11-10,5276,達輝-KY,1.0,5,"17,168",14.85,14.85,14.85,14.85,,,,
2025-11-07,5276,達輝-KY,2.0,5,"31,511",14.80,15.00,14.80,15.00,,1.0,0.0,0.0
2025-11-06,5276,達輝-KY,3.0,3,"44,800",14.95,14.95,14.90,14.90,,,,
2025-11-05,5276,達輝-KY,1.0,1,"15,200",15.20,15.20,15.20,15.20,,,,
2025-11-04,5276,達輝-KY,7.0,9,"105,037",15.00,15.00,14.90,14.90,,0.0,0.0,0.0
2025-11-03,5276,達輝-KY,3.0,4,"45,066",15.05,15.05,14.95,15.05,,,,
2025-10-31,5276,達輝-KY,9.0,9,"137,950",15.40,15.40,14.90,15.40,,,,
2025-10-30,5276,達輝-KY,2.0,2,"30,750",15.40,15.40,15.35,15.35,,,,
2025-10-29,5276,達輝-KY,4.0,5,"61,990",15.40,15.40,15.40,15.40,,,,
2025-10-28,5276,達輝-KY,7.0,6,"107,955",15.55,15.60,15.05,15.05,,,,
2025-10-27,5276,達輝-KY,2.0,4,"30,878",15.20,15.60,15.20,15.60,,,,
2025-10-23,5276,達輝-KY,2.0,2,"30,400",15.20,15.20,15.20,15.20,,,,
